"","Locus.1","Locus.2","p.value","std.err","switches","loci"
"2218","Dc03456","locus016",NA,NA,NA,"Dc03456 locus016"
"2219","Dc03556","locus016",NA,NA,NA,"Dc03556 locus016"
"2220","Dc05864","locus016",NA,NA,NA,"Dc05864 locus016"
"2221","Dc06503","locus016",NA,NA,NA,"Dc06503 locus016"
"2222","Dc07300","locus016",NA,NA,NA,"Dc07300 locus016"
"2223","Dc07937","locus016",NA,NA,NA,"Dc07937 locus016"
"2224","Dc08054","locus016",NA,NA,NA,"Dc08054 locus016"
"2225","Dc08189","locus016",NA,NA,NA,"Dc08189 locus016"
"2226","Dc08463","locus016",NA,NA,NA,"Dc08463 locus016"
"2227","Dc08578","locus016",NA,NA,NA,"Dc08578 locus016"
"2228","Dc08865","locus016",NA,NA,NA,"Dc08865 locus016"
"2229","Dc10003","locus016",NA,NA,NA,"Dc10003 locus016"
"2230","Dc10390","locus016",NA,NA,NA,"Dc10390 locus016"
"2231","Dc10878","locus016",NA,NA,NA,"Dc10878 locus016"
"2232","Dc10885","locus016",NA,NA,NA,"Dc10885 locus016"
"2233","Dc11203","locus016",NA,NA,NA,"Dc11203 locus016"
"2234","Dc11714","locus016",NA,NA,NA,"Dc11714 locus016"
"2235","Dc13159","locus016",NA,NA,NA,"Dc13159 locus016"
"2236","Dc13592","locus016",NA,NA,NA,"Dc13592 locus016"
"2237","Dc14022","locus016",NA,NA,NA,"Dc14022 locus016"
"2238","Dc14945","locus016",NA,NA,NA,"Dc14945 locus016"
"2239","Dc16747","locus016",NA,NA,NA,"Dc16747 locus016"
"2240","Dc18951","locus016",NA,NA,NA,"Dc18951 locus016"
"2241","Dc20232","locus016",NA,NA,NA,"Dc20232 locus016"
"2242","Dc22883","locus016",NA,NA,NA,"Dc22883 locus016"
"2243","Dc22887","locus016",NA,NA,NA,"Dc22887 locus016"
"2244","Dc27955","locus016",NA,NA,NA,"Dc27955 locus016"
"2245","Dc28124","locus016",NA,NA,NA,"Dc28124 locus016"
"2246","Dc28776","locus016",NA,NA,NA,"Dc28776 locus016"
"2247","Dc30071","locus016",NA,NA,NA,"Dc30071 locus016"
"2248","Dc31007","locus016",NA,NA,NA,"Dc31007 locus016"
"2249","Dc33714","locus016",NA,NA,NA,"Dc33714 locus016"
"2250","Dc33907","locus016",NA,NA,NA,"Dc33907 locus016"
"2251","Dc34902","locus016",NA,NA,NA,"Dc34902 locus016"
"2252","Dc35779","locus016",NA,NA,NA,"Dc35779 locus016"
"2253","Dc36571","locus016",NA,NA,NA,"Dc36571 locus016"
"2254","Dc36616","locus016",NA,NA,NA,"Dc36616 locus016"
"2255","Dc36767","locus016",NA,NA,NA,"Dc36767 locus016"
"2256","Dc40235","locus016",NA,NA,NA,"Dc40235 locus016"
"2257","Dc41234","locus016",NA,NA,NA,"Dc41234 locus016"
"2258","Dc46984","locus016",NA,NA,NA,"Dc46984 locus016"
"2259","Dc47572","locus016",NA,NA,NA,"Dc47572 locus016"
"2260","Dc47935","locus016",NA,NA,NA,"Dc47935 locus016"
"2261","Dc48207","locus016",NA,NA,NA,"Dc48207 locus016"
"2262","Dc48950","locus016",NA,NA,NA,"Dc48950 locus016"
"2263","Dc49080","locus016",NA,NA,NA,"Dc49080 locus016"
"2264","Dc49184","locus016",NA,NA,NA,"Dc49184 locus016"
"2265","Dc51020","locus016",NA,NA,NA,"Dc51020 locus016"
"2266","Dc52523","locus016",NA,NA,NA,"Dc52523 locus016"
"2267","Dc55481","locus016",NA,NA,NA,"Dc55481 locus016"
"2268","Dc58248","locus016",NA,NA,NA,"Dc58248 locus016"
"2269","Dc62188","locus016",NA,NA,NA,"Dc62188 locus016"
"2270","Dc67011","locus016",NA,NA,NA,"Dc67011 locus016"
"2271","locus002","locus016",NA,NA,NA,"locus002 locus016"
"2272","locus003","locus016",NA,NA,NA,"locus003 locus016"
"2273","locus004","locus016",NA,NA,NA,"locus004 locus016"
"2274","locus005","locus016",NA,NA,NA,"locus005 locus016"
"2275","locus006","locus016",NA,NA,NA,"locus006 locus016"
"2276","locus008","locus016",NA,NA,NA,"locus008 locus016"
"2277","locus013","locus016",NA,NA,NA,"locus013 locus016"
"2278","locus014","locus016",NA,NA,NA,"locus014 locus016"
"2279","Dc00544","locus022",1,0,74103,"Dc00544 locus022"
"2280","Dc01018","locus022",1,0,74686,"Dc01018 locus022"
"2281","Dc01661","locus022",0.225358,0.002473,82136,"Dc01661 locus022"
"2282","Dc01707","locus022",0.82806,0.002671,54332,"Dc01707 locus022"
"2283","Dc01784","locus022",1,0,82495,"Dc01784 locus022"
"2284","Dc02951","locus022",0.715696,0.001888,131096,"Dc02951 locus022"
"2285","Dc03456","locus022",1,0,82074,"Dc03456 locus022"
"2286","Dc03556","locus022",1,0,81759,"Dc03556 locus022"
"2287","Dc05864","locus022",0.370912,0.003416,74910,"Dc05864 locus022"
"2288","Dc06503","locus022",0.428228,0.002663,71330,"Dc06503 locus022"
"2289","Dc07300","locus022",0.83111,0.002803,54102,"Dc07300 locus022"
"2290","Dc07937","locus022",1,0,81643,"Dc07937 locus022"
"2291","Dc08054","locus022",1,0,91943,"Dc08054 locus022"
"2292","Dc08189","locus022",1,0,164270,"Dc08189 locus022"
"2293","Dc08463","locus022",0.428686,0.002648,71713,"Dc08463 locus022"
"2294","Dc08578","locus022",0.832446,0.00268,54485,"Dc08578 locus022"
"2295","Dc08865","locus022",0.833204,0.002665,54592,"Dc08865 locus022"
"2296","Dc10003","locus022",NA,NA,NA,"Dc10003 locus022"
"2297","Dc10390","locus022",0.71229,0.001984,130664,"Dc10390 locus022"
"2298","Dc10878","locus022",0.711544,0.003457,53309,"Dc10878 locus022"
"2299","Dc10885","locus022",1,0,39376,"Dc10885 locus022"
"2300","Dc11203","locus022",1,0,130696,"Dc11203 locus022"
"2301","Dc11714","locus022",0.372578,0.003433,74702,"Dc11714 locus022"
"2302","Dc13159","locus022",0.116724,0.002919,54700,"Dc13159 locus022"
"2303","Dc13592","locus022",0.374138,0.005244,44654,"Dc13592 locus022"
"2304","Dc14022","locus022",0.424474,0.002806,71284,"Dc14022 locus022"
"2305","Dc14945","locus022",NA,NA,NA,"Dc14945 locus022"
"2306","Dc16747","locus022",1,0,164103,"Dc16747 locus022"
"2307","Dc18951","locus022",0.487024,0.001459,164169,"Dc18951 locus022"
"2308","Dc20232","locus022",1,0,71368,"Dc20232 locus022"
"2309","Dc22883","locus022",0.116028,0.004028,39109,"Dc22883 locus022"
"2310","Dc22887","locus022",1,0,130808,"Dc22887 locus022"
"2311","Dc27955","locus022",1,0,81943,"Dc27955 locus022"
"2312","Dc28124","locus022",0.428706,0.002575,71035,"Dc28124 locus022"
"2313","Dc28776","locus022",1,0,74757,"Dc28776 locus022"
"2314","Dc30071","locus022",1,0,53255,"Dc30071 locus022"
"2315","Dc31007","locus022",NA,NA,NA,"Dc31007 locus022"
"2316","Dc33714","locus022",0.220412,0.002606,81811,"Dc33714 locus022"
"2317","Dc33907","locus022",1,0,164507,"Dc33907 locus022"
"2318","Dc34902","locus022",0.142292,0.002729,53357,"Dc34902 locus022"
"2319","Dc35779","locus022",1,0,164108,"Dc35779 locus022"
"2320","Dc36571","locus022",0.712824,0.001757,130947,"Dc36571 locus022"
"2321","Dc36616","locus022",1,0,71466,"Dc36616 locus022"
"2322","Dc36767","locus022",0.829962,0.002582,54370,"Dc36767 locus022"
"2323","Dc40235","locus022",1,0,71634,"Dc40235 locus022"
"2324","Dc41234","locus022",1,0,43653,"Dc41234 locus022"
"2325","Dc46984","locus022",1,0,44631,"Dc46984 locus022"
"2326","Dc47572","locus022",0.377538,0.003407,74571,"Dc47572 locus022"
"2327","Dc47935","locus022",0.825984,0.003146,54538,"Dc47935 locus022"
"2328","Dc48207","locus022",NA,NA,NA,"Dc48207 locus022"
"2329","Dc48950","locus022",0.62116,0.005467,39187,"Dc48950 locus022"
"2330","Dc49080","locus022",0.315402,0.002472,92256,"Dc49080 locus022"
"2331","Dc49184","locus022",0.144892,0.00268,53980,"Dc49184 locus022"
"2332","Dc51020","locus022",0.48542,0.001552,164413,"Dc51020 locus022"
"2333","Dc52523","locus022",1,0,54631,"Dc52523 locus022"
"2334","Dc55481","locus022",0.140474,0.002489,53593,"Dc55481 locus022"
"2335","Dc58248","locus022",0.624256,0.005212,39580,"Dc58248 locus022"
"2336","Dc62188","locus022",1,0,81791,"Dc62188 locus022"
"2337","Dc67011","locus022",1,0,82072,"Dc67011 locus022"
"2338","locus002","locus022",1,0,99723,"locus002 locus022"
"2339","locus003","locus022",1,0,81481,"locus003 locus022"
"2340","locus004","locus022",1,0,71200,"locus004 locus022"
"2341","locus005","locus022",0.715922,0.001828,130499,"locus005 locus022"
"2342","locus006","locus022",0.145686,0.001714,130608,"locus006 locus022"
"2343","locus008","locus022",1,0,92170,"locus008 locus022"
"2344","locus013","locus022",1,0,74563,"locus013 locus022"
"2345","locus014","locus022",1,0,53294,"locus014 locus022"
"2346","locus016","locus022",NA,NA,NA,"locus016 locus022"
"2347","Dc00544","locus024",0.254434,0.00123,181240,"Dc00544 locus024"
"2348","Dc01018","locus024",0.255714,0.001241,181016,"Dc01018 locus024"
"2349","Dc01661","locus024",1,0,204587,"Dc01661 locus024"
"2350","Dc01707","locus024",0.084976,0.001159,166642,"Dc01707 locus024"
"2351","Dc01784","locus024",1,0,205269,"Dc01784 locus024"
"2352","Dc02951","locus024",1,0,214305,"Dc02951 locus024"
"2353","Dc03456","locus024",1,0,204390,"Dc03456 locus024"
"2354","Dc03556","locus024",0.228758,0.001283,204812,"Dc03556 locus024"
"2355","Dc05864","locus024",0.254652,0.001245,180439,"Dc05864 locus024"
"2356","Dc06503","locus024",1,0,214702,"Dc06503 locus024"
"2357","Dc07300","locus024",0.48435,0.001559,166866,"Dc07300 locus024"
"2358","Dc07937","locus024",1,0,204372,"Dc07937 locus024"
"2359","Dc08054","locus024",1,0,199468,"Dc08054 locus024"
"2360","Dc08189","locus024",0.48728,0.000852,243479,"Dc08189 locus024"
"2361","Dc08463","locus024",1,0,214732,"Dc08463 locus024"
"2362","Dc08578","locus024",0.485956,0.001658,166717,"Dc08578 locus024"
"2363","Dc08865","locus024",1,0,166752,"Dc08865 locus024"
"2364","Dc10003","locus024",NA,NA,NA,"Dc10003 locus024"
"2365","Dc10390","locus024",1,0,213590,"Dc10390 locus024"
"2366","Dc10878","locus024",1,0,190976,"Dc10878 locus024"
"2367","Dc10885","locus024",1,0,160074,"Dc10885 locus024"
"2368","Dc11203","locus024",1,0,214149,"Dc11203 locus024"
"2369","Dc11714","locus024",0.427184,0.001287,180616,"Dc11714 locus024"
"2370","Dc13159","locus024",0.142918,0.001378,167224,"Dc13159 locus024"
"2371","Dc13592","locus024",1,0,164665,"Dc13592 locus024"
"2372","Dc14022","locus024",1,0,213887,"Dc14022 locus024"
"2373","Dc14945","locus024",NA,NA,NA,"Dc14945 locus024"
"2374","Dc16747","locus024",0.487166,0.000752,243659,"Dc16747 locus024"
"2375","Dc18951","locus024",0.486352,0.000798,243311,"Dc18951 locus024"
"2376","Dc20232","locus024",1,0,213917,"Dc20232 locus024"
"2377","Dc22883","locus024",1,0,160326,"Dc22883 locus024"
"2378","Dc22887","locus024",0.427522,0.000834,215023,"Dc22887 locus024"
"2379","Dc27955","locus024",1,0,205060,"Dc27955 locus024"
"2380","Dc28124","locus024",1,0,213461,"Dc28124 locus024"
"2381","Dc28776","locus024",1,0,181063,"Dc28776 locus024"
"2382","Dc30071","locus024",1,0,189952,"Dc30071 locus024"
"2383","Dc31007","locus024",NA,NA,NA,"Dc31007 locus024"
"2384","Dc33714","locus024",0.057216,0.000647,204933,"Dc33714 locus024"
"2385","Dc33907","locus024",1,0,242840,"Dc33907 locus024"
"2386","Dc34902","locus024",1,0,190337,"Dc34902 locus024"
"2387","Dc35779","locus024",1,0,243154,"Dc35779 locus024"
"2388","Dc36571","locus024",1,0,215011,"Dc36571 locus024"
"2389","Dc36616","locus024",0.427816,0.000712,214783,"Dc36616 locus024"
"2390","Dc36767","locus024",0.48695,0.001727,166299,"Dc36767 locus024"
"2391","Dc40235","locus024",0.428152,0.000749,214768,"Dc40235 locus024"
"2392","Dc41234","locus024",1,0,148636,"Dc41234 locus024"
"2393","Dc46984","locus024",1,0,165011,"Dc46984 locus024"
"2394","Dc47572","locus024",1,0,180390,"Dc47572 locus024"
"2395","Dc47935","locus024",1,0,166775,"Dc47935 locus024"
"2396","Dc48207","locus024",NA,NA,NA,"Dc48207 locus024"
"2397","Dc48950","locus024",1,0,160478,"Dc48950 locus024"
"2398","Dc49080","locus024",0.657702,0.001274,200058,"Dc49080 locus024"
"2399","Dc49184","locus024",1,0,190288,"Dc49184 locus024"
"2400","Dc51020","locus024",1,0,243209,"Dc51020 locus024"
"2401","Dc52523","locus024",0.484984,0.001716,167359,"Dc52523 locus024"
"2402","Dc55481","locus024",1,0,190360,"Dc55481 locus024"
"2403","Dc58248","locus024",1,0,159683,"Dc58248 locus024"
"2404","Dc62188","locus024",1,0,204814,"Dc62188 locus024"
"2405","Dc67011","locus024",1,0,204936,"Dc67011 locus024"
"2406","locus002","locus024",1,0,200007,"locus002 locus024"
"2407","locus003","locus024",1,0,204491,"locus003 locus024"
"2408","locus004","locus024",1,0,214502,"locus004 locus024"
"2409","locus005","locus024",1,0,213909,"locus005 locus024"
"2410","locus006","locus024",0.143658,0.000741,214770,"locus006 locus024"
"2411","locus008","locus024",1,0,199707,"locus008 locus024"
"2412","locus013","locus024",1,0,180901,"locus013 locus024"
"2413","locus014","locus024",1,0,190134,"locus014 locus024"
"2414","locus016","locus024",NA,NA,NA,"locus016 locus024"
"2415","locus022","locus024",0.485302,0.001499,163977,"locus022 locus024"
"2416","Dc00544","locus025",1,0,81885,"Dc00544 locus025"
"2417","Dc01018","locus025",0.14095,0.001792,81878,"Dc01018 locus025"
"2418","Dc01661","locus025",0.570184,0.002404,91016,"Dc01661 locus025"
"2419","Dc01707","locus025",1,0,65614,"Dc01707 locus025"
"2420","Dc01784","locus025",0.573258,0.002077,91239,"Dc01784 locus025"
"2421","Dc02951","locus025",1,0,134764,"Dc02951 locus025"
"2422","Dc03456","locus025",0.28353,0.002411,91198,"Dc03456 locus025"
"2423","Dc03556","locus025",1,0,91113,"Dc03556 locus025"
"2424","Dc05864","locus025",1,0,82239,"Dc05864 locus025"
"2425","Dc06503","locus025",1,0,71389,"Dc06503 locus025"
"2426","Dc07300","locus025",1,0,65443,"Dc07300 locus025"
"2427","Dc07937","locus025",0.286726,0.002207,90821,"Dc07937 locus025"
"2428","Dc08054","locus025",1,0,111399,"Dc08054 locus025"
"2429","Dc08189","locus025",1,0,190263,"Dc08189 locus025"
"2430","Dc08463","locus025",1,0,72294,"Dc08463 locus025"
"2431","Dc08578","locus025",0.287908,0.003321,65801,"Dc08578 locus025"
"2432","Dc08865","locus025",0.5716,0.003422,65372,"Dc08865 locus025"
"2433","Dc10003","locus025",NA,NA,NA,"Dc10003 locus025"
"2434","Dc10390","locus025",0.522902,0.001766,134954,"Dc10390 locus025"
"2435","Dc10878","locus025",1,0,59439,"Dc10878 locus025"
"2436","Dc10885","locus025",0.853802,0.002423,49781,"Dc10885 locus025"
"2437","Dc11203","locus025",1,0,135186,"Dc11203 locus025"
"2438","Dc11714","locus025",1,0,82225,"Dc11714 locus025"
"2439","Dc13159","locus025",1,0,65483,"Dc13159 locus025"
"2440","Dc13592","locus025",0.7202,0.003532,53794,"Dc13592 locus025"
"2441","Dc14022","locus025",1,0,70990,"Dc14022 locus025"
"2442","Dc14945","locus025",NA,NA,NA,"Dc14945 locus025"
"2443","Dc16747","locus025",1,0,190188,"Dc16747 locus025"
"2444","Dc18951","locus025",1,0,190855,"Dc18951 locus025"
"2445","Dc20232","locus025",0.283608,0.001679,71112,"Dc20232 locus025"
"2446","Dc22883","locus025",0.858374,0.002697,49695,"Dc22883 locus025"
"2447","Dc22887","locus025",0.048892,0.000711,134798,"Dc22887 locus025"
"2448","Dc27955","locus025",0.285716,0.002147,91840,"Dc27955 locus025"
"2449","Dc28124","locus025",1,0,71477,"Dc28124 locus025"
"2450","Dc28776","locus025",0.331944,0.002521,82278,"Dc28776 locus025"
"2451","Dc30071","locus025",1,0,59098,"Dc30071 locus025"
"2452","Dc31007","locus025",NA,NA,NA,"Dc31007 locus025"
"2453","Dc33714","locus025",0.567894,0.00209,90936,"Dc33714 locus025"
"2454","Dc33907","locus025",0.143114,0.000965,190941,"Dc33907 locus025"
"2455","Dc34902","locus025",1,0,59436,"Dc34902 locus025"
"2456","Dc35779","locus025",1,0,190373,"Dc35779 locus025"
"2457","Dc36571","locus025",0.524228,0.001699,134706,"Dc36571 locus025"
"2458","Dc36616","locus025",1,0,71397,"Dc36616 locus025"
"2459","Dc36767","locus025",0.283888,0.003117,65494,"Dc36767 locus025"
"2460","Dc40235","locus025",1,0,71552,"Dc40235 locus025"
"2461","Dc41234","locus025",0.811838,0.00254,56010,"Dc41234 locus025"
"2462","Dc46984","locus025",0.717448,0.003431,53437,"Dc46984 locus025"
"2463","Dc47572","locus025",0.715448,0.001944,82134,"Dc47572 locus025"
"2464","Dc47935","locus025",1,0,65243,"Dc47935 locus025"
"2465","Dc48207","locus025",NA,NA,NA,"Dc48207 locus025"
"2466","Dc48950","locus025",0.285392,0.004284,49971,"Dc48950 locus025"
"2467","Dc49080","locus025",1,0,111174,"Dc49080 locus025"
"2468","Dc49184","locus025",1,0,59451,"Dc49184 locus025"
"2469","Dc51020","locus025",1,0,190296,"Dc51020 locus025"
"2470","Dc52523","locus025",0.567508,0.002772,65415,"Dc52523 locus025"
"2471","Dc55481","locus025",1,0,59779,"Dc55481 locus025"
"2472","Dc58248","locus025",0.858754,0.002231,50070,"Dc58248 locus025"
"2473","Dc62188","locus025",0.572442,0.002187,91394,"Dc62188 locus025"
"2474","Dc67011","locus025",0.572748,0.002291,91718,"Dc67011 locus025"
"2475","locus002","locus025",0.401396,0.001816,99922,"locus002 locus025"
"2476","locus003","locus025",0.567788,0.002244,90809,"locus003 locus025"
"2477","locus004","locus025",0.284904,0.001748,71430,"locus004 locus025"
"2478","locus005","locus025",0.522656,0.001815,134567,"locus005 locus025"
"2479","locus006","locus025",1,0,134414,"locus006 locus025"
"2480","locus008","locus025",1,0,110832,"locus008 locus025"
"2481","locus013","locus025",0.14408,0.002113,81809,"locus013 locus025"
"2482","locus014","locus025",0.046468,0.001311,58836,"locus014 locus025"
"2483","locus016","locus025",NA,NA,NA,"locus016 locus025"
"2484","locus022","locus025",1,0,53426,"locus022 locus025"
"2485","locus024","locus025",1,0,190863,"locus024 locus025"
"2486","Dc00544","locus027",1,0,106723,"Dc00544 locus027"
"2487","Dc01018","locus027",1,0,106251,"Dc01018 locus027"
"2488","Dc01661","locus027",1,0,112989,"Dc01661 locus027"
"2489","Dc01707","locus027",0.887228,0.00193,85755,"Dc01707 locus027"
"2490","Dc01784","locus027",1,0,112101,"Dc01784 locus027"
"2491","Dc02951","locus027",0.61956,0.001476,158619,"Dc02951 locus027"
"2492","Dc03456","locus027",0.657006,0.001914,112175,"Dc03456 locus027"
"2493","Dc03556","locus027",1,0,112894,"Dc03556 locus027"
"2494","Dc05864","locus027",0.121048,0.001433,106071,"Dc05864 locus027"
"2495","Dc06503","locus027",0.14207,0.001021,95399,"Dc06503 locus027"
"2496","Dc07300","locus027",0.885934,0.001635,85801,"Dc07300 locus027"
"2497","Dc07937","locus027",0.655452,0.001825,112718,"Dc07937 locus027"
"2498","Dc08054","locus027",1,0,131498,"Dc08054 locus027"
"2499","Dc08189","locus027",0.256824,0.001277,181266,"Dc08189 locus027"
"2500","Dc08463","locus027",0.142896,0.000914,95657,"Dc08463 locus027"
"2501","Dc08578","locus027",0.11146,0.002131,86037,"Dc08578 locus027"
"2502","Dc08865","locus027",0.884998,0.001737,85919,"Dc08865 locus027"
"2503","Dc10003","locus027",NA,NA,NA,"Dc10003 locus027"
"2504","Dc10390","locus027",0.048574,0.000752,158859,"Dc10390 locus027"
"2505","Dc10878","locus027",0.714582,0.002467,81667,"Dc10878 locus027"
"2506","Dc10885","locus027",0.77238,0.002955,67772,"Dc10885 locus027"
"2507","Dc11203","locus027",0.620248,0.001476,159197,"Dc11203 locus027"
"2508","Dc11714","locus027",0.429694,0.002488,106667,"Dc11714 locus027"
"2509","Dc13159","locus027",0.887108,0.001882,85771,"Dc13159 locus027"
"2510","Dc13592","locus027",0.369902,0.003453,74799,"Dc13592 locus027"
"2511","Dc14022","locus027",0.144414,0.001009,94985,"Dc14022 locus027"
"2512","Dc14945","locus027",NA,NA,NA,"Dc14945 locus027"
"2513","Dc16747","locus027",0.256534,0.00136,180692,"Dc16747 locus027"
"2514","Dc18951","locus027",0.257056,0.001218,181070,"Dc18951 locus027"
"2515","Dc20232","locus027",0.429336,0.00172,95497,"Dc20232 locus027"
"2516","Dc22883","locus027",0.77349,0.002514,67677,"Dc22883 locus027"
"2517","Dc22887","locus027",1,0,158140,"Dc22887 locus027"
"2518","Dc27955","locus027",1,0,112142,"Dc27955 locus027"
"2519","Dc28124","locus027",0.141428,0.000964,95641,"Dc28124 locus027"
"2520","Dc28776","locus027",0.771038,0.001851,106074,"Dc28776 locus027"
"2521","Dc30071","locus027",1,0,81739,"Dc30071 locus027"
"2522","Dc31007","locus027",NA,NA,NA,"Dc31007 locus027"
"2523","Dc33714","locus027",0.658942,0.001938,112563,"Dc33714 locus027"
"2524","Dc33907","locus027",0.255702,0.001232,180683,"Dc33907 locus027"
"2525","Dc34902","locus027",0.143342,0.001776,81911,"Dc34902 locus027"
"2526","Dc35779","locus027",1,0,180329,"Dc35779 locus027"
"2527","Dc36571","locus027",0.620284,0.001222,158429,"Dc36571 locus027"
"2528","Dc36616","locus027",1,0,95524,"Dc36616 locus027"
"2529","Dc36767","locus027",0.883862,0.001724,85334,"Dc36767 locus027"
"2530","Dc40235","locus027",1,0,94973,"Dc40235 locus027"
"2531","Dc41234","locus027",0.583306,0.003336,72687,"Dc41234 locus027"
"2532","Dc46984","locus027",1,0,74389,"Dc46984 locus027"
"2533","Dc47572","locus027",0.423444,0.002303,106515,"Dc47572 locus027"
"2534","Dc47935","locus027",0.883044,0.001493,86200,"Dc47935 locus027"
"2535","Dc48207","locus027",NA,NA,NA,"Dc48207 locus027"
"2536","Dc48950","locus027",0.777286,0.00304,67464,"Dc48950 locus027"
"2537","Dc49080","locus027",0.204472,0.001803,130652,"Dc49080 locus027"
"2538","Dc49184","locus027",0.335096,0.0024,81921,"Dc49184 locus027"
"2539","Dc51020","locus027",0.428644,0.001299,180647,"Dc51020 locus027"
"2540","Dc52523","locus027",0.31364,0.003048,86082,"Dc52523 locus027"
"2541","Dc55481","locus027",0.331788,0.002488,81853,"Dc55481 locus027"
"2542","Dc58248","locus027",0.770254,0.003108,68061,"Dc58248 locus027"
"2543","Dc62188","locus027",1,0,112521,"Dc62188 locus027"
"2544","Dc67011","locus027",1,0,113242,"Dc67011 locus027"
"2545","locus002","locus027",1,0,200375,"locus002 locus027"
"2546","locus003","locus027",1,0,113196,"locus003 locus027"
"2547","locus004","locus027",0.428354,0.001717,95466,"locus004 locus027"
"2548","locus005","locus027",0.04592,0.000725,158873,"locus005 locus027"
"2549","locus006","locus027",1,0,158825,"locus006 locus027"
"2550","locus008","locus027",1,0,131309,"locus008 locus027"
"2551","locus013","locus027",1,0,106523,"locus013 locus027"
"2552","locus014","locus027",0.71362,0.002567,81649,"locus014 locus027"
"2553","locus016","locus027",NA,NA,NA,"locus016 locus027"
"2554","locus022","locus027",0.371468,0.003127,74688,"locus022 locus027"
"2555","locus024","locus027",1,0,181304,"locus024 locus027"
"2556","locus025","locus027",0.713482,0.002436,81716,"locus025 locus027"
"2557","Dc00544","locus030",0.429838,0.002607,106329,"Dc00544 locus030"
"2558","Dc01018","locus030",0.4293,0.002655,106675,"Dc01018 locus030"
"2559","Dc01661","locus030",0.655764,0.001967,112731,"Dc01661 locus030"
"2560","Dc01707","locus030",0.883916,0.001537,85962,"Dc01707 locus030"
"2561","Dc01784","locus030",0.6562,0.001981,112411,"Dc01784 locus030"
"2562","Dc02951","locus030",0.335,0.001509,158706,"Dc02951 locus030"
"2563","Dc03456","locus030",0.2291,0.00209,112381,"Dc03456 locus030"
"2564","Dc03556","locus030",0.227756,0.001996,112992,"Dc03556 locus030"
"2565","Dc05864","locus030",1,0,106520,"Dc05864 locus030"
"2566","Dc06503","locus030",1,0,95550,"Dc06503 locus030"
"2567","Dc07300","locus030",0.886544,0.001748,86318,"Dc07300 locus030"
"2568","Dc07937","locus030",0.658788,0.002164,112213,"Dc07937 locus030"
"2569","Dc08054","locus030",0.428954,0.002107,131541,"Dc08054 locus030"
"2570","Dc08189","locus030",1,0,180608,"Dc08189 locus030"
"2571","Dc08463","locus030",1,0,95442,"Dc08463 locus030"
"2572","Dc08578","locus030",1,0,85881,"Dc08578 locus030"
"2573","Dc08865","locus030",0.319104,0.002538,85882,"Dc08865 locus030"
"2574","Dc10003","locus030",NA,NA,NA,"Dc10003 locus030"
"2575","Dc10390","locus030",1,0,158660,"Dc10390 locus030"
"2576","Dc10878","locus030",0.335218,0.002411,81946,"Dc10878 locus030"
"2577","Dc10885","locus030",0.776446,0.00321,67872,"Dc10885 locus030"
"2578","Dc11203","locus030",0.143946,0.001229,159066,"Dc11203 locus030"
"2579","Dc11714","locus030",0.771106,0.002005,106212,"Dc11714 locus030"
"2580","Dc13159","locus030",0.886926,0.00149,85750,"Dc13159 locus030"
"2581","Dc13592","locus030",1,0,74969,"Dc13592 locus030"
"2582","Dc14022","locus030",1,0,95560,"Dc14022 locus030"
"2583","Dc14945","locus030",NA,NA,NA,"Dc14945 locus030"
"2584","Dc16747","locus030",0.658222,0.001101,181219,"Dc16747 locus030"
"2585","Dc18951","locus030",1,0,180915,"Dc18951 locus030"
"2586","Dc20232","locus030",0.42722,0.001607,95174,"Dc20232 locus030"
"2587","Dc22883","locus030",0.769782,0.002918,67122,"Dc22883 locus030"
"2588","Dc22887","locus030",1,0,159411,"Dc22887 locus030"
"2589","Dc27955","locus030",1,0,112601,"Dc27955 locus030"
"2590","Dc28124","locus030",1,0,95424,"Dc28124 locus030"
"2591","Dc28776","locus030",1,0,106275,"Dc28776 locus030"
"2592","Dc30071","locus030",0.145358,0.001952,82720,"Dc30071 locus030"
"2593","Dc31007","locus030",NA,NA,NA,"Dc31007 locus030"
"2594","Dc33714","locus030",1,0,113029,"Dc33714 locus030"
"2595","Dc33907","locus030",1,0,181285,"Dc33907 locus030"
"2596","Dc34902","locus030",1,0,82068,"Dc34902 locus030"
"2597","Dc35779","locus030",0.429318,0.001385,180994,"Dc35779 locus030"
"2598","Dc36571","locus030",0.619278,0.001213,158614,"Dc36571 locus030"
"2599","Dc36616","locus030",0.428456,0.001838,95188,"Dc36616 locus030"
"2600","Dc36767","locus030",0.883766,0.001657,85751,"Dc36767 locus030"
"2601","Dc40235","locus030",0.428924,0.001727,95060,"Dc40235 locus030"
"2602","Dc41234","locus030",0.0852,0.001725,72483,"Dc41234 locus030"
"2603","Dc46984","locus030",0.028364,0.001283,74558,"Dc46984 locus030"
"2604","Dc47572","locus030",0.77135,0.001995,106545,"Dc47572 locus030"
"2605","Dc47935","locus030",0.885828,0.001773,85523,"Dc47935 locus030"
"2606","Dc48207","locus030",NA,NA,NA,"Dc48207 locus030"
"2607","Dc48950","locus030",1,0,67998,"Dc48950 locus030"
"2608","Dc49080","locus030",0.427574,0.002103,131215,"Dc49080 locus030"
"2609","Dc49184","locus030",1,0,82104,"Dc49184 locus030"
"2610","Dc51020","locus030",0.429836,0.001248,181330,"Dc51020 locus030"
"2611","Dc52523","locus030",0.885792,0.001591,86209,"Dc52523 locus030"
